"camera Name	",not being in acceptaptable eyesight range,being in acceptaptable eyesight range(50 degree),C column+line of sight,steps Number
camera (0),0,1,0,1
camera (1),0,1,0,1
camera (2),0,1,0,1
camera (3),0,1,0,1
camera (4),0,1,0,1
camera (5),1,0,0,1
camera (6),1,0,0,1
camera (7),1,0,0,1

camera (0),0,1,0.5,2
camera (1),0,1,0.5,2
camera (2),0,1,0.5,2
camera (3),0,1,0.5,2
camera (4),0,1,0.5,2
camera (5),1,0,0,2
camera (6),0.5,0.5,0,2
camera (7),1,0,0,2

camera (0),0,1,0.6666667,3
camera (1),0,1,0.6666667,3
camera (2),0,1,0.6666667,3
camera (3),0,1,0.6666667,3
camera (4),0,1,0.6666667,3
camera (5),1,0,0,3
camera (6),0.3333333,0.6666667,0,3
camera (7),1,0,0,3

camera (0),0,1,0.75,4
camera (1),0,1,0.75,4
camera (2),0,1,0.75,4
camera (3),0,1,0.75,4
camera (4),0,1,0.75,4
camera (5),1,0,0,4
camera (6),0.25,0.75,0.25,4
camera (7),0.75,0.25,0.25,4

camera (0),0,1,0.8,5
camera (1),0,1,0.8,5
camera (2),0,1,0.8,5
camera (3),0,1,0.8,5
camera (4),0,1,0.8,5
camera (5),1,0,0,5
camera (6),0.2,0.8,0.4,5
camera (7),0.6,0.4,0.4,5

camera (0),0,1,0.8333333,6
camera (1),0,1,0.8333333,6
camera (2),0,1,0.8333333,6
camera (3),0,1,0.8333333,6
camera (4),0,1,0.8333333,6
camera (5),1,0,0,6
camera (6),0.1666667,0.8333334,0.5,6
camera (7),0.5,0.5,0.5,6

camera (0),0,1,0.8571429,7
camera (1),0,1,0.8571429,7
camera (2),0,1,0.8571429,7
camera (3),0,1,0.8571429,7
camera (4),0,1,0.8571429,7
camera (5),1,0,0,7
camera (6),0.1428571,0.8571429,0.5714286,7
camera (7),0.4285714,0.5714286,0.5714286,7

camera (0),0,1,0.875,8
camera (1),0,1,0.875,8
camera (2),0,1,0.875,8
camera (3),0,1,0.875,8
camera (4),0,1,0.875,8
camera (5),1,0,0,8
camera (6),0.125,0.875,0.625,8
camera (7),0.375,0.625,0.625,8

camera (0),0,1,0.8888889,9
camera (1),0,1,0.8888889,9
camera (2),0,1,0.8888889,9
camera (3),0,1,0.8888889,9
camera (4),0,1,0.8888889,9
camera (5),1,0,0,9
camera (6),0.1111111,0.8888889,0.6666667,9
camera (7),0.3333333,0.6666667,0.6666667,9

camera (0),0,1,0.9,10
camera (1),0,1,0.9,10
camera (2),0,1,0.9,10
camera (3),0,1,0.9,10
camera (4),0,1,0.9,10
camera (5),1,0,0,10
camera (6),0.1,0.9,0.7,10
camera (7),0.3,0.7,0.7,10

camera (0),0,1,0.9090909,11
camera (1),0,1,0.9090909,11
camera (2),0,1,0.9090909,11
camera (3),0,1,0.9090909,11
camera (4),0,1,0.9090909,11
camera (5),1,0,0,11
camera (6),0.09090909,0.9090909,0.7272727,11
camera (7),0.2727273,0.7272727,0.7272727,11

camera (0),0,1,0.9166667,12
camera (1),0,1,0.9166667,12
camera (2),0,1,0.9166667,12
camera (3),0,1,0.9166667,12
camera (4),0,1,0.9166667,12
camera (5),1,0,0,12
camera (6),0.08333334,0.9166667,0.75,12
camera (7),0.25,0.75,0.75,12

camera (0),0,1,0.9230769,13
camera (1),0,1,0.9230769,13
camera (2),0,1,0.9230769,13
camera (3),0,1,0.9230769,13
camera (4),0,1,0.9230769,13
camera (5),0.9230769,0.07692308,0.07692308,13
camera (6),0.07692308,0.9230769,0.7692308,13
camera (7),0.2307692,0.7692308,0.7692308,13

camera (0),0,1,0.9285714,14
camera (1),0,1,0.9285714,14
camera (2),0,1,0.9285714,14
camera (3),0,1,0.9285714,14
camera (4),0,1,0.9285714,14
camera (5),0.8571429,0.1428571,0.1428571,14
camera (6),0.07142857,0.9285714,0.7857143,14
camera (7),0.2142857,0.7857143,0.7857143,14

camera (0),0,1,0.9333333,15
